Feature,Importance
PHOTOPLETHYSMOGRAPHY_IR__maximum,0.0
ACCELEROMETER_1_Z__variance,0.0
ACCELEROMETER_1_Z__standard_deviation,0.0
ACCELEROMETER_1_Z__root_mean_square,0.0
ACCELEROMETER_1_Z__maximum,0.0
GYROSCOPE_X__sum_values,0.0
GYROSCOPE_X__median,0.0
ACCELEROMETER_1_Z__absolute_maximum,0.0
ACCELEROMETER_1_Z__minimum,0.0
GYROSCOPE_X__standard_deviation,0.0
GYROSCOPE_X__variance,0.0
GYROSCOPE_X__root_mean_square,0.0
GYROSCOPE_X__maximum,0.0
GYROSCOPE_X__absolute_maximum,0.0
GYROSCOPE_X__minimum,0.0
GYROSCOPE_X__mean,0.0
GYROSCOPE_X__length,0.0
GYROSCOPE_Y__median,0.0
GYROSCOPE_Y__sum_values,0.0
GYROSCOPE_Y__standard_deviation,0.0
GYROSCOPE_Y__mean,0.0
GYROSCOPE_Y__variance,0.0
GYROSCOPE_Y__root_mean_square,0.0
GYROSCOPE_Y__maximum,0.0
GYROSCOPE_Y__length,0.0
GYROSCOPE_Y__absolute_maximum,0.0
GYROSCOPE_Z__sum_values,0.0
GYROSCOPE_Z__mean,0.0
GYROSCOPE_Z__median,0.0
GYROSCOPE_Z__length,0.0
GYROSCOPE_Z__variance,0.0
GYROSCOPE_Z__root_mean_square,0.0
GYROSCOPE_Z__maximum,0.0
GYROSCOPE_Z__absolute_maximum,0.0
GYROSCOPE_Z__minimum,0.0
ACCELEROMETER_X__sum_values,0.0
ACCELEROMETER_X__median,0.0
ACCELEROMETER_X__mean,0.0
ACCELEROMETER_X__length,0.0
ACCELEROMETER_X__standard_deviation,0.0
ACCELEROMETER_X__variance,0.0
ACCELEROMETER_X__root_mean_square,0.0
ACCELEROMETER_X__maximum,0.0
ACCELEROMETER_X__absolute_maximum,0.0
ACCELEROMETER_X__minimum,0.0
ACCELEROMETER_Y__sum_values,0.0
ACCELEROMETER_Y__median,0.0
ACCELEROMETER_Y__mean,0.0
ACCELEROMETER_Y__length,0.0
ACCELEROMETER_Y__standard_deviation,0.0
ACCELEROMETER_Y__variance,0.0
ACCELEROMETER_Y__root_mean_square,0.0
ACCELEROMETER_Y__maximum,0.0
ACCELEROMETER_Y__absolute_maximum,0.0
ACCELEROMETER_Y__minimum,0.0
ACCELEROMETER_Z__sum_values,0.0
ACCELEROMETER_Z__median,0.0
ACCELEROMETER_Z__mean,0.0
ACCELEROMETER_Z__length,0.0
ACCELEROMETER_Z__standard_deviation,0.0
ACCELEROMETER_Z__variance,0.0
ACCELEROMETER_Z__root_mean_square,0.0
ACCELEROMETER_Z__maximum,0.0
ACCELEROMETER_Z__absolute_maximum,0.0
ACCELEROMETER_Z__minimum,0.0
